"author","birth","death","wikipageid","books","bio"
"Tom Robbins",1932-07-22,,356410,"Tibetan Peach Pie: A True Account of an Imaginative Life|Even Cowgirls Get the Blues (novel)|Skinny Legs and All (novel)|Another Roadside Attraction|Fierce Invalids Home from Hot Climates|Half Asleep in Frog Pajamas|Jitterbug Perfume|Still Life with Woodpecker|Villa Incognito|Wild Ducks Flying Backward|B Is for Beer","Thomas Eugene ""Tom"" Robbins (born July 22, 1932) is an American novelist. His best-selling novels are ""seriocomedies"" (also known as ""comedy-drama""), often wildly poetic stories with a strong social and philosophical undercurrent, an irreverent bent, and scenes extrapolated from carefully researched bizarre facts. His novel Even Cowgirls Get the Blues was made into a movie in 1993 by Gus Van Sant and stars Uma Thurman, Lorraine Bracco, and Keanu Reeves."
"Johann Wolfgang von Goethe",1749-08-28,1832-03-22,19242322,"Iphigenia in Tauris (Goethe)|Italian Journey|The Green Snake and the Beautiful Lily|Elective Affinities|The Sorrows of Young Werther|Wilhelm Meister's Apprenticeship|Theory of Colours","Johann Wolfgang von Goethe (/ˈɡətə/ or /ˈɡərtə/; [ˈjoːhan ˈvɔlfɡaŋ ˈɡøːtə]; 28 August 1749 – 22 March 1832) was a German writer and statesman. His body of work includes epic and lyric poetry written in a variety of metres and styles; prose and verse dramas; memoirs; an autobiography; literary and aesthetic criticism; treatises on botany, anatomy, and colour; and four novels. In addition, numerous literary and scientific fragments, more than 10,000 letters, and nearly 3,000 drawings by him exist.A literary celebrity by the age of 25, Goethe was ennobled by the Duke of Saxe-Weimar, Karl August in 1782 after first taking up residence there in November 1775 following the success of his first novel, The Sorrows of Young Werther. He was an early participant in the Sturm und Drang literary movement. During his first ten years in Weimar, Goethe served as a member of the Duke's privy council, sat on the war and highway commissions, oversaw the reopening of silver mines in nearby Ilmenau, and implemented a series of administrative reforms at the University of Jena. He also contributed to the planning of Weimar's botanical park and the rebuilding of its Ducal Palace, which in 1998 were together designated a UNESCO World Heritage Site. After returning from a tour of Italy in 1788, his first major scientific work, the Metamorphosis of Plants, was published. In 1791 he was made managing director of the theatre at Weimar, and in 1794 he began a friendship with the dramatist, historian, and philosopher Friedrich Schiller, whose plays he premiered until Schiller's death in 1805. During this period Goethe published his second novel, Wilhelm Meister's Apprenticeship, the verse epic Hermann and Dorothea, and, in 1808, the first part of his most celebrated drama, Faust. His conversations and various common undertakings throughout the 1790s with Schiller, Johann Gottlieb Fichte, Johann Gottfried Herder, Alexander von Humboldt, Wilhelm von Humboldt, and August and Friedrich Schlegel have, in later years, been collectively termed Weimar Classicism. Arthur Schopenhauer cited Wilhelm Meister's Apprenticeship as one of the four greatest novels ever written, along with Tristram Shandy, La Nouvelle Héloïse, and Don Quixote, and Ralph Waldo Emerson selected Goethe as one of six ""representative men"" in his work of the same name, along with Plato, Napoleon, and William Shakespeare. Goethe's comments and observations form the basis of several biographical works, most notably Johann Peter Eckermann's Conversations with Goethe. There are frequent references to Goethe's writings throughout the works of Georg Friedrich Wilhelm Hegel, Arthur Schopenhauer, Søren Kierkegaard, Friedrich Nietzsche, Hermann Hesse, Thomas Mann, Sigmund Freud, and Carl Jung. Goethe's poems were set to music throughout the eighteenth and nineteenth centuries by a number of composers, including Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Schubert, Robert Schumann, Johannes Brahms, Charles Gounod, Richard Wagner, Hugo Wolf, Felix Mendelssohn, Hector Berlioz, Gustav Mahler, and Jules Massenet."
"Cordelia Fine","1975",,28916015,"Delusions of Gender","Cordelia Fine (born 1975 Toronto, Canada) is a Canadian-born British academic psychologist and writer. She is the author of two books on neuroscience and psychology, several book chapters and numerous academic publications. She wrote the introduction to The Britannica Guide to the Brain, is active as a journalist and wrote the column ""Modern Mind"" for newspaper The Australian. Born in Toronto, Fine spent her childhood in the United States and Edinburgh. Fine has a BA with first-class honours in experimental psychology from Oxford University (1995), M.Phil in criminology from Cambridge University (1996), and PhD in psychology from the Institute of Cognitive Neuroscience at University College London (2001)."
"A. L. McCann","1966",,25665171,"The White Body of Evening","Andrew Lachlan McCann is an Australian academic and writer of horror fiction."
"Mike Magee (journalist)",1949-12-07,,12551893,"The Register|IT Examiner|TechEye|The Inquirer","Michael ""Mike"" Magee (born 7 December 1949) is a British journalist. He is credited with introducing a tabloid-style approach to the coverage of technology news. In 2009 the Daily Telegraph placed Magee 35 in its list of Top 50 most influential Britons in technology. Magee co-founded technology news website The Register in 1994. In 2001 he left to found The Inquirer. In 2010 he launched technology website TechEye. and in February 2013 he launched a new title for the channel called 'ChannelEye."
"Mary Johnston",1870-11-21,1936-05-09,2577932,"To Have and to Hold","Mary Johnston (November 21, 1870 – May 9, 1936) was an American novelist and women's rights advocate from Virginia. She was one of America's best selling authors during her writing career and had three silent films adapted from her novels."
"Rod Warren","1931",1984-10-22,16671394,"Lily (1973 special)|Star Wars Holiday Special","Rod Warren (real name Rodney Warnken) (1931 – 22 October 1984) was an American Emmy Award-winning screenwriter, producer, and actor. He was the youngest of three children of Belle and Robert Warnken Sr. of New Jersey. He had one surviving sister Martha Butler of Wallkill, NY. He was well known for his car and phonograph collections. His car collections were frequently loaned to major Hollywood studios. His phonographs and scripts are on display in a special room of the Hollywood library.[citation needed] Warren won two Primetime Emmy Awards as part of the writing teams for programs featuring Lily Tomlin. He also wrote for other variety shows such as Donny and Marie and The Smothers Brothers Show. He produced and supervised the writing of a 1978 television special produced for the Church of Jesus Christ of Latter Day Saints entitled The Family . . . and other living things. Warren was one of the clients of entertainment manager Harvey Glass, who embezzled large sums from Warren (and other clients) and was later sentenced to prison. Warren died of a heart attack in October 1984 while in England filming a Perry Como Christmas special."
"Martin Caidin",1927-09-14,1997-03-24,521091,"Marooned (novel)|Buck Rogers: A Life in the Future|Cyborg (novel)|Cyborg IV|The God Machine (novel)|High Crystal|Operation Nuke","Martin Caidin (September 14, 1927 – March 24, 1997) was an American author and an authority on aeronautics and aviation. Caidin began writing fiction during 1957, and authored more than 50 fiction and nonfiction books, as well as more than 1,000 magazine articles. His best-known novel is Cyborg, which was the basis for The Six Million Dollar Man franchise. He also wrote numerous works of military history, especially concerning aviation. Caidin was an airplane pilot as well, and bought and restored a 1936 Junkers Ju 52 airplane."
"Otar Chiladze","1933","2009",24536270,"A Man Was Going Down the Road|Avelum|The Basket|The Iron Theatre","Otar Chiladze (Georgian: ოთარ ჭილაძე) (March 20, 1933 — October 1, 2009) was a Georgian writer who played a prominent role in the resurrection of the Georgian prose in the post-Joseph Stalin era. His novels characteristically fuse Sumerian and Hellenic mythology with the predicaments of a modern Georgian intellectual."
"Mary Norton (author)",1903-12-10,1992-08-29,1775489,"The Borrowers Aloft|The Return of the Borrowers|The Borrowers Afloat|The Borrowers|The Borrowers (2011 film)|The Borrowers Afield|The Borrowers (miniseries)|The Borrowers Avenged","Mary Norton, or Kathleen Mary Norton née Pearson (10 December 1903 – 29 August 1992), was an English author of children's books. She is best known for the The Borrowers series of low fantasy novels (1952 to 1982), which is named after its first book and, in turn, the tiny people who live secretly in the midst of contemporary human civilisation. Norton won the 1952 Carnegie Medal from the Library Association, recognising The Borrowers as the year's outstanding children's book by a British subject. For the 70th anniversary of the Medal in 2007 it was named one of the top ten winning works, selected by a panel to compose the ballot for a public election of the all-time favourite."
"James Howe",1946-08-02,,7054010,"Mister Tinker in Oz|Bunnicula: A Rabbit-Tale of Mystery","James Howe (born August 2, 1946) is an American children's writer with more than 80 juvenile and young adult fiction books to his credit. He is known best for the Bunnicula series about a vampire rabbit that sucks the juice out of vegetables."
"Han Nolan",1956-08-25,,16869599,"Born Blue","Han Nolan (born August 25, 1956) is an American writer of young-adult fiction. She has published nine young adult novels. She won the U.S. National Book Award for Young People's Literature in 1997 for the novel Dancing on the Edge."
"Yoshihiro Togashi",1966-04-27,,760042,"Hunter × Hunter|Yu Yu Hakusho|Level E|Ten de Shōwaru Cupid","Yoshihiro Togashi (冨樫 義博 Togashi Yoshihiro, born April 27, 1966 in Shinjō, Yamagata) is a Japanese manga artist. He began drawing manga at an early age; while he attended college, the publishing company Shueisha recognized his talent. Togashi has authored numerous manga series in different genres during the past three decades. He is perhaps best known for writing and illustrating the YuYu Hakusho and Hunter × Hunter series, both of which have been published in the popular Weekly Shōnen Jump magazine. Togashi is married to Naoko Takeuchi, the author of Sailor Moon."
"Erick Wujcik",1951-01-26,2008-06-07,1698001,"Road Hogs|Teenage Mutant Ninja Turtles Guide to the Universe|Transdimensional Teenage Mutant Ninja Turtles|Mutants of the Yucatan|Mutants Down Under","Erick A. Wujcik (January 26, 1951 – June 7, 2008) was an American designer of both pen-and-paper and computer role-playing games, and co-founder of Palladium Books."
"William Hazlitt",1778-04-10,1830-09-18,161961,"The Spirit of the Age|Table-Talk (Hazlitt)|The Round Table (1817 book)|Characters of Shakespear's Plays","William Hazlitt (10 April 1778 – 18 September 1830) was an English writer, drama and literary critic, painter, social commentator, and philosopher. He is now considered one of the greatest critics and essayists in the history of the English language, placed in the company of Samuel Johnson and George Orwell. He is also acknowledged as the finest art critic of his age. Despite his high standing among historians of literature and art, his work is currently little read and mostly out of print. During his lifetime he befriended many people who are now part of the 19th-century literary canon, including Charles and Mary Lamb, Stendhal, Samuel Taylor Coleridge, William Wordsworth, and John Keats."
"Dino Buzzati",1906-10-14,1972-01-28,82429,"Larger than Life (novel)|The Seven Messengers|The Tartar Steppe|A Love Affair|The Bears' Famous Invasion of Sicily|Il segreto del Bosco Vecchio|Il colombre|Sessanta racconti|Bàrnabo delle montagne","Dino Buzzati-Traverso ([ˈdino butˈtsati]; 14 October 1906 – 28 January 1972) was an Italian novelist, short story writer, painter and poet, as well as a journalist for Corriere della Sera. His worldwide fame is mostly due to his novel The Tartar Steppe, but he is also known for his well received collections of short stories."
"Harry Harrison (writer)",1925-03-12,2012-08-15,207772,"Vendetta for the Saint|A Rebel in Time|The Daleth Effect|Spaceship Medic|50 in 50|The Streets of Ashkelon|Nova 1|Return to Eden (novel)|The Hammer and the Cross|The Technicolor Time Machine|Bill, the Galactic Hero|Star Smashers of the Galaxy Rangers|Winter in Eden|Astounding: John W. Campbell Memorial Anthology|Make Room! Make Room!|West of Eden|Captive Universe|Best SF: 1968","Harry Max Harrison (born Henry Maxwell Dempsey; March 12, 1925 – August 15, 2012) was an American science fiction (SF) author, best known for his character the Stainless Steel Rat and for his novel Make Room! Make Room! (1966). The latter was the rough basis for the motion picture Soylent Green (1973). Harrison was (with Brian Aldiss) the co-president of the Birmingham Science Fiction Group. Aldiss called him ""a constant peer and great family friend"". His friend Michael Carroll said, ""Imagine Pirates of the Caribbean or Raiders of the Lost Ark, and picture them as science-fiction novels. They're rip-roaring adventures, but they're stories with a lot of heart."" Novelist Christopher Priest wrote in an obituary,"
"Rosemary Harris (writer)",1923-02-20,,8942638,"The Moon in the Cloud","Rosemary Jeanne Harris (born 20 February 1923) is a British author of children's fiction. She won the 1968 Carnegie Medal for British children's books. Harris was born in London. She attended school in Weymouth, and then studied at the Central Saint Martins College of Art and Design, the Chelsea School of Art and the Courtauld Institute. She served in the British Red Cross Nursing Auxiliary Westminster Division during World War II and subsequently worked as a picture restorer and as a reader for Metro-Goldwyn-Mayer. From 1970 to 1973 she reviewed children's books for The Times. For The Moon in the Cloud, published by Faber in 1968, Harris won the annual Carnegie Medal from the Library Association, recognising the year's best children's book by a British subject. The Moon was the first volume of a trilogy set in ancient Egypt, followed by The Shadow on the Sun (1970) and The Bright and Morning Star (1972). The book was also the basis for a 1978 episode of the BBC series Jackanory. Others of her books feature themes as diverse as terrorism, magic and futuristic totalitarianism."
"Hjalmar Söderberg",1869-07-02,1941-10-14,742376,"The Serious Game|Martin Birck's Youth|Doctor Glas","Hjalmar Emil Fredrik Söderberg (July 2, 1869 – October 14, 1941) was a Swedish novelist, playwright, poet and journalist. His works often deal with melancholy and lovelorn characters, and offer a rich portrayal of contemporary Stockholm through the eyes of the flaneur. Söderberg is greatly appreciated in his native country, and is sometimes considered to be the equal of August Strindberg, Sweden's national author."
"Susan Fletcher (American author)",1951-05-28,,26719132,"Alphabet of Dreams","Susan Fletcher (born May 28, 1951) is an American writer of fiction, primarily speculative fiction for children or young adults. She was born in Pasadena, California and has worked from Wilsonville, Oregon. Her first book was Dragon's Milk, a fantasy novel from Jean Karl Books at Atheneum in 1989. Three more Dragon Chronicles have followed, the latest in 2010."
"Anne Holm",1922-09-10,1998-12-27,4072242,"I Am David","Anne Holm, born Else Anne Jørgensen (10 September 1922 – 27 December 1998) was a Danish journalist and children's writer. At times she also wrote under the pseudonym Adrien de Chandelle. Her books are typically recommended to age groups 5–19 years, but they include elements even for adult readers. Her best-known book is I Am David (1963), adapted for a 2003 film; (also published as North to Freedom), which tells the story of a 12-year-old boy who escapes from a concentration camp and travels through Europe. It won the ALA Notable Book award in 1965, the 1963 Best Scandinavian Children's Book award and the Boys Club of America Junior Book Award Gold Medal. Another well known book by Holm is Peter (1966), which tells the story of a teenage boy who travels in time to ancient Greece and medieval England. She married Johan C Holm in 1949."
"Johanna Spyri",1827-06-12,1901-07-07,206955,"Heidi","Johanna Louise Spyri (née Heusser) ([joˈhana ˈʃpiːri]; 12 June 1827 – 7 July 1901) was a Swiss-born author of novels and best known for her children's stories, and is best known for her book Heidi. Born in the rural area of Hirzel, Switzerland, as a child she spent several summers in the area around Chur in Graubünden, the setting she later would use in her novels."
"Edmund Wilson",1895-05-08,1972-06-12,285605,"Patriotic Gore","Edmund Wilson (May 8, 1895 – June 12, 1972) was an American writer and critic who notably explored Freudian and Marxian themes. He influenced many American fiction-writers, including Scott Fitzgerald, whose unfinished work he edited for publication. His scheme for a Library of America series of national classic works came to fruition after his death."
"Comte de Lautréamont",1846-04-04,1870-11-24,154771,"Les Chants de Maldoror","Comte de Lautréamont ([lotʁeamɔ̃]) was the pseudonym of Isidore-Lucien Ducasse (4 April 1846 – 24 November 1870), a French poet born in Uruguay. His only works, Les Chants de Maldoror and Poésies, had a major influence on modern literature, particularly on the Surrealists and the Situationists. He died at the age of 24."
"Drew Karpyshyn",1971-07-28,,4595052,"Star Wars: Darth Bane: Rule of Two|Temple Hill (novel)|Star Wars: Darth Bane: Path of Destruction|Baldur's Gate II: Throne of Bhaal (novel)|Mass Effect: Revelation|Star Wars: The Old Republic: Annihilation|Star Wars: Darth Bane: Dynasty of Evil|Star Wars: The Old Republic: Revan","Drew Karpyshyn (born July 28, 1971) is a Canadian video game scenario writer, scriptwriter and novelist. He served as a senior writer for BioWare's Star Wars: Knights of the Old Republic and lead writer for the first two Mass Effect video games. He left BioWare to focus on his own projects and Chaos Born novels, and returned to it three years later in 2015."
"Paul Morand",1888-03-13,1976-07-24,2169665,"Venices (book)|The Allure of Chanel|Open All Night (book)|Lewis and Irene|Tender Shoots|The Man in a Hurry|Black Magic (book)|New York (Morand book)|Hecate and Her Dogs|The Living Buddha","Paul Morand (March 13, 1888 – July 24, 1976) was a French author whose short stories and novellas were lauded for their style, wit and descriptive power. His most productive literary period was the interwar period of the 1920s and 1930s. He was much admired by the upper echelons of society and the artistic avant-garde who made him a cult favorite. He has been categorized as an early Modernist, and Imagist. Morand was a graduate of the Paris Institute of Political Studies, preparing him for a diplomatic career, and also attended Oxford University. A member of the upper class and married into wealth, he held various diplomatic posts and traveled widely. He was typical of those in his social group who enjoyed lives of privilege and entitlement, adhering to the inevitability and desirability of class distinction. Morand espoused a reflexive adherence to racial, ethnic and anti-Semitic ideologies. His intellectual influences included the writing of Friedrich Nietzsche, Oswald Spengler, and the author of a treatise on the superiority of the white race, Joseph Arthur de Gobineau. During World War II, he pledged allegiance to the French Vichy regime, and became a government functionary, and Nazi collaborator. He served as Vichy ambassador in Romania and Switzerland during World War II. He was a patron and inspirational figure for the Hussards literary movement, which opposed existentialism. Morand made four bids for admission to the prestigious Académie française and was finally accepted in 1968, over the protest of Charles de Gaulle."
"Carmen de Icaza",1899-05-17,1979-03-16,47519411,"Cristina Guzmán (novel)|The House Across the Street (novel)","Carmen de Icaza (b. 17 May 1899, Madrid, Spain – d. 16 March 1979) was a Spanish novelist from 1935 to 1960. She enjoyed success with her 1936 novel, Cristina Guzmán which was subsequently adapted for the stage, television and cinema. By 1945, she was a best-selling writer in Spain. Her father was Mexican writer and diplomat Francisco A. de Icaza."
"James J. Sheehan","1937",,19193517,"Where Have All the Soldiers Gone?","James J. Sheehan is an American historian of modern Germany and the former president of the American Historical Association (2005). Born in San Francisco in 1937, Sheehan earned a B.A. from Stanford University in 1958 and a Ph.D. (history) from the University of California, Berkeley in 1964. He taught at Northwestern University between 1964 and 1979, then moved back to Stanford to succeed Gordon A. Craig as Stanford's historian of modern Germany. At Stanford, Sheehan is Dickason Professor in the Humanities, Professor of History, and FSI senior fellow (courtesy). Sheehan's research focuses on German and modern European history, especially the history of German liberalism, the German Empire, and war and the modern European state. He is the author of numerous articles and several important books, including The Career of Lujo Brentano: A Study of Liberalism and Social Reform in Imperial Germany (Chicago and London: University of Chicago Press, 1966); German Liberalism in the Nineteenth Century (Chicago and London: University of Chicago Press, 1978); German History,1770-1866 (Oxford: Oxford University Press, 1989); and, most recently, Where Have All the Soldiers Gone?: The Transformation of Modern Europe (Boston: Houghton Mifflin, 2008). He is married to Margaret L. Anderson, a historian at the University of California, Berkeley."
"S. L. Bhyrappa",1931-08-20,,30872437,"Parva (novel)|Tantu|Yaana (novel)|Mandra (novel)|Matadana|Aavarana|Saartha|Daatu|Kavalu|Anchu (Book)|Dharmashree|Gruhabhanga|Tabbaliyu Neenade Magane (Novel)|Bheemakaaya|Doora saridaru|Nele (novel)|Nirakarana","Santeshivara Lingannaiah Bhyrappa (Kannada: ಸಂತೇಶಿವರ ಲಿಂಗಣ್ಣಯ್ಯ ಭೈರಪ್ಪ) (born 26 July 1934), is a Kannada novelist whose works are not only popular within his home state of Karnataka, but also all over India and in the USA. Bhyrappa is widely regarded as one of modern India's foremost novelists. His novels are unique in terms of theme, structure, and characterization. He has been among the top selling authors of Kannada language. Books written by him and translated to Hindi and Marathi have also been top sellers in the past. He has been awarded with the 20th Saraswati Samman for 2010. Bhyrappa's works do not fit into any specific genre of contemporary Kannada literature such as Navodaya, Navya, Bandaya, or Dalita, partly because of the range of topics he writes about. His major works have been the center of several heated public debates and controversies. In March 2015, Bhyrappa was awarded the Sahitya Akademi Fellowship. The Government of India awarded him the civilian honour of the Padma Shri in 2016."
"Anne Sexton",1928-11-09,1974-10-04,177377,"The Book of Folly","Anne Sexton (November 9, 1928 – October 4, 1974) was an American poet, known for her highly personal, confessional verse. She won the Pulitzer Prize for poetry in 1967 for her book Live or Die. Themes of her poetry include her long battle against depression and mania, suicidal tendencies, and various intimate details from her private life, including her relationships with her husband and children."
"Marshall McLuhan",1911-07-21,1980-12-31,19548,"Understanding Media|War and Peace in the Global Village|The Mechanical Bride|The Medium Is the Massage|The Gutenberg Galaxy","Herbert Marshall McLuhan, CC (July 21, 1911 – December 31, 1980) was a Canadian professor of English, philosopher of communication theory and a public intellectual. His work is viewed as one of the cornerstones of the study of media theory, as well as having practical applications in the advertising and television industries. He was educated at the University of Manitoba and Cambridge University and began his teaching career as a Professor of English at several universities in the U.S. and Canada, before moving to the University of Toronto where he would remain for the rest of his life. McLuhan is known for coining the expressions the medium is the message and the global village, and for predicting the World Wide Web almost thirty years before it was invented. Although he was a fixture in media discourse in the late 1960s, his influence began to wane in the early 1970s. In the years after his death, he continued to be a controversial figure in academic circles. With the arrival of the internet, however, interest in his work and perspective has renewed."
"Alexander Belyaev",1884-03-16,1942-01-06,580471,"Professor Dowell's Head|The Air Seller|Hoity Toity (novel)|Amphibian Man","Alexander Romanovich Belyaev (Russian: Алекса́ндр Рома́нович Беля́ев, [ɐlʲɪkˈsandr rɐˈmanəvʲɪtɕ bʲɪˈlʲæɪf]; 16 March 1884 – 6 January 1942) was a Soviet Russian writer of science fiction. His works from the 1920s and 1930s made him a highly regarded figure in Russian science fiction, often referred to as ""Russia's Jules Verne"". Belyaev's best known books include Professor Dowell's Head, Amphibian Man, Ariel, and The Air Seller."
"John Updike",1932-03-18,2009-01-27,15824,"The Witches of Eastwick|The Widows of Eastwick|Brazil (novel)|The Early Stories: 1953–1975|Trust Me (book)|Rabbit, Run|Marry Me (novel)|Rabbit Redux|Terrorist (novel)|Gertrude and Claudius|Rabbit Is Rich|Rabbit at Rest|Memories of the Ford Administration|Couples (novel)|Too Far to Go|Pigeon Feathers and Other Stories|The Poorhouse Fair|The Coup (Updike novel)","John Hoyer Updike (March 18, 1932 – January 27, 2009) was an American novelist, poet, short story writer, art critic, and literary critic. Updike's most famous work is his ""Rabbit"" series (the novels Rabbit, Run; Rabbit Redux; Rabbit Is Rich; Rabbit at Rest; and the novella Rabbit Remembered), which chronicles the life of the middle-class everyman Harry ""Rabbit"" Angstrom over the course of several decades, from young adulthood to death. Both Rabbit Is Rich (1982) and Rabbit at Rest (1990) were recognized with the Pulitzer Prize. Updike is one of only three authors to win the Pulitzer Prize for Fiction more than once (the others were Booth Tarkington and William Faulkner). He published more than twenty novels and more than a dozen short story collections, as well as poetry, art criticism, literary criticism and children's books. Hundreds of his stories, reviews, and poems appeared in The New Yorker starting in 1954. He also wrote regularly for The New York Review of Books. Describing his subject as ""the American small town, Protestant middle class,"" Updike was well recognized for his careful craftsmanship, his unique prose style, and his prolificacy. He wrote on average a book a year. Updike populated his fiction with characters who ""frequently experience personal turmoil and must respond to crises relating to religion, family obligations, and marital infidelity."" His fiction is distinguished by its attention to the concerns, passions, and suffering of average Americans; its emphasis on Christian theology; and its preoccupation with sexuality and sensual detail. His work has attracted a significant amount of critical attention and praise, and he is widely considered to be one of the great American writers of his time. Updike's highly distinctive prose style features a rich, unusual, sometimes arcane vocabulary as conveyed through the eyes of ""a wry, intelligent authorial voice"" that extravagantly describes the physical world, while remaining squarely in the realist tradition. He described his style as an attempt ""to give the mundane its beautiful due."""
"Marion Hargrove",1919-10-13,2003-08-23,8900741,"Nichols (TV series)","Marion Hargrove (October 13, 1919 – August 23, 2003) was an American writer noted for the World War II bestselling book See Here, Private Hargrove, a collection of humorous newspaper columns written mostly before the United States entered the war. (The book was made into a 1944 movie with Robert Walker as Hargrove and Donna Reed as his love interest.) During the war, he served on the staff of Yank, the Army Weekly. After the war he wrote two novels: Something's Got to Give (1948) and The Girl He Left Behind (1956). He also wrote for various popular magazines, and served as feature editor of Argosy. A native of North Carolina, in 1955 Hargrove settled in Los Angeles and began writing television and film scripts. His credits include Cash McCall (1960), The Music Man (1962), and television episodes of Maverick (1957), The Restless Gun (1957), Colt .45 (1957), Zane Grey Theater (1957), the pilot script for 77 Sunset Strip entitled Girl on the Run (1958), The Rogues (1964), I Spy (1966), The Name of the Game (1969), Nichols (1972), The Waltons (1975), and Bret Maverick (1981). Collaborator Roy Huggins discusses Hargrove at length in part 6 of his Archive of American Television videotaped interview. Hargrove was one of three Hollywood writers interviewed and analyzed at length in Prime Time Authorship (2002), by Douglas Heil. While working at Warner Bros. in 1959, he was the center of a successful grass-roots letter-writing campaign to acquire a suitable couch for his office on the studio lot. A selection of these letters was published in Playboy Magazine under the title Hollywood Horizontal (1959) and anthologized in The Playboy Book of Humor and Satire (1965). With characteristic modesty, Hargrove never publicly claimed to be their sole author. In 1965, Hargrove attempted to mold a television series after See Here, Private Hargrove, with Peter Helm in the starring role. The pilot was produced but never sold."
"Emma Bull",1954-12-13,,600560,"Bone Dance|War for the Oaks|Finder (novel)|Territory (novel)","Emma Bull (born December 13, 1954) is an American science fiction and fantasy author."
"John Grisham",1955-02-08,,61998,"The Associate (novel)|The Rainmaker (novel)|A Time to Kill (Grisham novel)|Theodore Boone: The Activist|A Painted House|The Testament|The Litigators|Rogue Lawyer|Playing for Pizza|The Firm (novel)|The Client (TV series)|The Client (novel)|The Innocent Man: Murder and Injustice in a Small Town|The Runaway Jury|The Brethren (novel)|The Confession (novel)|The Summons|Theodore Boone: Kid Lawyer|Theodore Boone: The Abduction|Gray Mountain (John Grisham novel)|Bleachers (novel)|The Broker|The King of Torts|The Pelican Brief|The Appeal|Calico Joe|The Racketeer (novel)|Theodore Boone: The Accused|Ford County (short story collection)|The Chamber (novel)|The Partner|The Street Lawyer|The Last Juror|Skipping Christmas|Sycamore Row|Theodore Boone: The Fugitive|Theodore Boone: The Scandal","John Ray Grisham, Jr. (/ˈɡrɪʃæm/; born February 8, 1955) is an American bestselling writer, attorney, politician, and activist best known for his popular legal thrillers. His books have been translated into 42 languages and published worldwide. John Grisham graduated from Mississippi State University before attending the University of Mississippi School of Law in 1981. He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.He began writing his first novel, A Time to Kill, in 1984; it was published in June 1989. As of 2012, his books had sold over 275 million copies worldwide. A Galaxy British Book Awards winner, Grisham is one of only three authors to sell 2 million copies on a first printing; the others are Tom Clancy and J.K. Rowling. Grisham's first bestseller was The Firm (1991); it sold more than seven million copies. The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel."" Eight of his other novels have also been adapted into films: The Chamber, The Client, A Painted House, The Pelican Brief, Skipping Christmas, The Rainmaker, The Runaway Jury, and A Time to Kill."
"Ed Earl Repp",1901-05-22,1979-02-14,17172829,"The Radium Pool|Science-Fantasy Quintette|The Stellar Missiles","Ed Earl Repp (1901–1979) was an American writer, screenwriter and novelist. His stories appeared in several of the early pulp magazines including Air Wonder Stories, Science Wonder Stories and Amazing Stories. After World War II, he began working as a screenwriter for several western movies"
"Luís Miguel Rocha","1976",2015-03-26,28315302,"The Last Pope","Luís Miguel Rocha (February 1976 – 26 March 2015) was a Portuguese author, television writer and producer."
"Rajiv Malhotra","1950",,18864968,"Breaking India|Being Different|Indra's Net (book)|The Battle for Sanskrit","Rajiv Malhotra (born 15 September 1950) is an Indian-American author and Hindu activist who, after a career in the computer and telecom industries, took early retirement in 1995 to found The Infinity Foundation, which focuses on Indic studies and promotes a non-western and nationalistic view on India and Hinduism. Malhotra has written prolifically in opposition to the academic study of Indian history and society, especially the study of Hinduism as it is conducted by scholars and university faculty, which he maintains denigrates the tradition and undermines the interests of India ""by encouraging the paradigms that oppose its unity and integrity""."
"Harry Frankfurt",1929-05-29,,1311139,"On Truth","Harry Gordon Frankfurt (born May 29, 1929) is an American philosopher. He is professor emeritus of philosophy at Princeton University, where he taught from 1990 until 2002, and previously taught at Yale University and Rockefeller University.ref needed"
"Ronald Chetwynd-Hayes",1919-05-30,2001-03-20,8914005,"The Vampire Stories of R. Chetwynd-Hayes","Ronald Chetwynd-Hayes (30 May 1919 – 20 March 2001) (a.k.a. Ronald Henry Glynn Chetwynd-Hayes or R. Chetwynd-Hayes) was an author, best known for his ghost and horror stories. His first published work was the science fiction novel The Man from the Bomb in 1959. He went on to publish many collections and ten other novels including The Grange, The Haunted Grange, And Love Survived and The Curse of the Snake God. He also edited over 20 anthologies. Several of his short works were adapted into anthology style movies in the United Kingdom, including The Monster Club and From Beyond the Grave. Chetwynd-Hayes' book The Monster Club contains references to a film-maker called Vinke Rocnnor, an anagram of Kevin Connor, the director of From Beyond the Grave. He won the Bram Stoker Award for Lifetime Achievement for 1988, and the British Fantasy Society Special Award in 1989. Chetwynd-Hayes died from bronchial pneumonia on 20 March 2001. ""Chetwynd"" is a Hayes family name originating with Ronald's 4 x great grandfather, John Hayes, when he married Ann; daughter of Francis and Ann Chetwin, at Wolverhampton on 13 August 1758. Chetwynd-Hayes was also related to Michael Peter Hayes, better known as Mickie Most, through shared ancestors James Thomas Hayes [ born 1841 in Whitechapel, London ] and his wife, Elizabeth Penn. [source Family pedigree Alan C Hardcastle ]."
